Brand	Model	Type	Gender	Size	Color	Material	Price (USD)
Nike	Air Jordan 1	Basketball	Mens	US 7-14	Blue Red White Gold	Leather	170
Adidas	Ultra Boost 21	Running	Mens	US 7-14	White Gum Black Red	Primeknit	180
Reebok	Classic Leather	Casual	Mens	US 7-14	Multicolor Black Red Yellow	Leather	75
Converse	Chuck Taylor	Casual	Mens	US 7-14	Grey Orange Green Black	Canvas	55
Puma	Future Rider	Lifestyle	Mens	US 7-14	Grey Blue Red Maroon	Mesh	80
Vans	Old Skool	Skate	Mens	US 7-14	Pink Purple White Grey	Suede/Canvas	65
New Balance	990V5	Running	Mens	US 7-14	Green White Gold Brown	Suede/Mesh	175
Asics	Gel-Kayano 28	Running	Mens	US 7-14	Multicolor Black Red Yellow	Mesh	160
Fila	Disruptor Ii	Fashion	Mens	US 7-14	Grey Orange Green Black	Leather/Synthetic	65
Skechers	Go Run Razor 3	Running	Mens	US 7-14	Grey Blue Red Maroon	Mesh	110
Nike	Air Max 270	Running	Mens	US 7-14	Brown Olive Tan Cream	Mesh	150
Adidas	Stan Smith	Casual	Mens	US 7-14	Sand Black Neon Green	Leather	80
Reebok	Club C 85	Casual	Mens	US 7-14	Black Red White Yellow	Leather	70
Converse	One Star	Skate	Mens	US 7-14	Pink Purple White Grey	Suede	75
Puma	Rs-Fast	Lifestyle	Mens	US 7-14	White Gum Black Red	Leather/Synthetic	110
Vans	Authentic	Skate	Mens	US 7-14	Pink Purple White Grey	Canvas	50
New Balance	Fresh Foam 1080V11	Running	Mens	US 7-14	Grey Blue Red Maroon	Mesh	150
Asics	Gel-Nimbus 23	Running	Mens	US 7-14	White Black Silver Navy	Mesh	150
Fila	Ray Tracer	Fashion	Mens	US 7-14	Sand Black Neon Green	Synthetic	70
Skechers	Arch Fit	Walking	Mens	US 7-14	Teal Black Orange Silver	Mesh	70
Nike	Air Force 1	Casual	Mens	US 7-14	Pink Purple White Grey	Leather	90
Adidas	Nmd_R1	Running	Mens	US 7-14	Green White Gold Brown	Primeknit	140
Reebok	Zig Kinetica Ii	Running	Mens	US 7-14	Black Red White Yellow	Mesh	120
Converse	Jack Purcell	Casual	Mens	US 7-14	Beige Coral White Black	Canvas	65
Puma	Calibrate Runner	Running	Mens	US 7-14	Pink Purple White Grey	Mesh	80
